Date,Open,High,Low,Close,Adj Close,Volume
02-01-2019,259.279999,269.75,256.579987,267.660004,267.660004,11679500
03-01-2019,270.200012,275.790009,264.429993,271.200012,271.200012,14969600
04-01-2019,281.880005,297.799988,278.540009,297.570007,297.570007,19330100
07-01-2019,302.100006,316.799988,301.649994,315.339996,315.339996,18620100
08-01-2019,319.980011,320.589996,308.01001,320.269989,320.269989,15359200
09-01-2019,317.709991,323.350006,313.5,319.959991,319.959991,13343200
10-01-2019,314.570007,325.369995,312.5,324.660004,324.660004,13472500
11-01-2019,330.959991,341.089996,328.519989,337.589996,337.589996,19500400
14-01-2019,334.23999,335.480011,329.130005,332.940002,332.940002,10499600
15-01-2019,349.600006,357.220001,347,354.640015,354.640015,21181200
16-01-2019,354,358.850006,348.109985,351.390015,351.390015,15385500
17-01-2019,349.5,355.790009,346.410004,353.190002,353.190002,18871200
18-01-2019,351.970001,353,336.730011,339.100006,339.100006,26621000
22-01-2019,334.890015,336.880005,321.029999,325.160004,325.160004,17941400
23-01-2019,328.25,331.75,318.600006,321.98999,321.98999,13480100
24-01-2019,320.600006,331.799988,319,326.670013,326.670013,11131600
25-01-2019,328.720001,340,328.51001,338.049988,338.049988,11152900
28-01-2019,334.700012,336.299988,328.880005,335.660004,335.660004,8652100
29-01-2019,335.869995,338.220001,328.149994,328.899994,328.899994,7655200
30-01-2019,332.75,341.779999,330.799988,340.660004,340.660004,9234500
31-01-2019,339.679993,345.98999,338.089996,339.5,339.5,8535500
01-02-2019,337.179993,346.839996,336.5,339.850006,339.850006,9827800
04-02-2019,342.600006,352,341.299988,351.339996,351.339996,9051400
05-02-2019,353.200012,360,352.899994,355.809998,355.809998,9046600
06-02-2019,357,357.040009,347.190002,352.190002,352.190002,6717700
07-02-2019,347.899994,348.75,339.019989,344.709991,344.709991,7864500
08-02-2019,338,348,338,347.570007,347.570007,7561400
11-02-2019,350,352.869995,344.809998,345.730011,345.730011,5454900
12-02-2019,348.089996,360,346.519989,359.970001,359.970001,10429400
13-02-2019,357.299988,359.600006,350.279999,351.769989,351.769989,10559100
14-02-2019,351.75,360.450012,348.329987,359.070007,359.070007,9295300
15-02-2019,358.470001,364.399994,355.5,356.869995,356.869995,9230000
19-02-2019,355.799988,365,355.320007,361.920013,361.920013,7396600
20-02-2019,364.850006,366.709991,356.700012,359.910004,359.910004,8110700
21-02-2019,360.029999,362.850006,353.880005,356.970001,356.970001,6227900
22-02-2019,360.339996,366.130005,360.049988,363.019989,363.019989,7088200
25-02-2019,367.01001,371.48999,363.790009,363.910004,363.910004,7569300
26-02-2019,362.980011,365.700012,359.329987,364.970001,364.970001,4944600
27-02-2019,363.5,368.029999,359.799988,362.869995,362.869995,5629900
28-02-2019,362.470001,366.390015,357.709991,358.100006,358.100006,6186800
01-03-2019,362.26001,362.869995,354.690002,357.320007,357.320007,5526500
04-03-2019,359.720001,362.25,348.040009,351.040009,351.040009,7487000
05-03-2019,351.459991,356.170013,348.25,354.299988,354.299988,5937800
06-03-2019,353.600006,359.880005,351.700012,359.609985,359.609985,6211900
07-03-2019,360.160004,362.859985,350.5,352.600006,352.600006,6151300
08-03-2019,345.75,349.920013,342.470001,349.600006,349.600006,6898800
11-03-2019,352,358.980011,350.029999,358.859985,358.859985,5387300
12-03-2019,359.369995,360.130005,353.799988,356.269989,356.269989,5164600
13-03-2019,355.809998,362.480011,352.769989,361.209991,361.209991,6444100
14-03-2019,360.5,363.839996,358.100006,358.820007,358.820007,5271400
15-03-2019,361.019989,364,358.890015,361.459991,361.459991,8444500
18-03-2019,362.470001,370.970001,361.859985,363.440002,363.440002,7194700
19-03-2019,366.399994,366.959991,356.799988,358.779999,358.779999,7541400
20-03-2019,358.910004,375.899994,357.01001,375.220001,375.220001,10917200
21-03-2019,374,379,370.609985,377.869995,377.869995,8544000
22-03-2019,375.950012,376.429993,360.040009,361.01001,361.01001,8661300
25-03-2019,359,367.040009,357.440002,366.230011,366.230011,8473800
26-03-2019,367.869995,368.380005,358.019989,359.970001,359.970001,7666500
27-03-2019,361,362.470001,350.369995,353.369995,353.369995,7852400
28-03-2019,354.48999,355.940002,349.200012,354.609985,354.609985,4361000
29-03-2019,357.160004,358.25,353.709991,356.559998,356.559998,4705600
01-04-2019,359,368.329987,358.51001,366.959991,366.959991,7036100
02-04-2019,366.25,368.420013,362.220001,367.720001,367.720001,5158700
03-04-2019,369.26001,373.410004,366.190002,369.75,369.75,5376600
04-04-2019,370.070007,372.049988,362.399994,367.880005,367.880005,4627300
05-04-2019,369,369.799988,364.660004,365.48999,365.48999,3905500
08-04-2019,365.109985,365.940002,359.929993,361.410004,361.410004,4653800
09-04-2019,360.540009,366.73999,359,364.709991,364.709991,5439200
10-04-2019,365.790009,368.850006,362.25,363.920013,363.920013,4545600
11-04-2019,365,370.119995,360.809998,367.649994,367.649994,6526900
12-04-2019,360.690002,361.75,349.359985,351.140015,351.140015,15646200
15-04-2019,350.709991,352.209991,342.269989,348.869995,348.869995,8842300
16-04-2019,355,364.480011,352.720001,359.459991,359.459991,18740200
17-04-2019,365.049988,368.76001,350.600006,354.73999,354.73999,18054100
18-04-2019,355,360.410004,351.640015,360.350006,360.350006,8353200
22-04-2019,359.700012,377.690002,359,377.339996,377.339996,11980500
23-04-2019,375.450012,384.799988,374.709991,381.890015,381.890015,10089800
24-04-2019,381.070007,381.899994,373.269989,374.230011,374.230011,6541900
25-04-2019,374.48999,374.76001,365.700012,368.329987,368.329987,6255500
26-04-2019,368.350006,375.140015,366.23999,374.850006,374.850006,5621900
29-04-2019,373.679993,374.579987,369.119995,371.829987,371.829987,3821700
30-04-2019,369.559998,374.5,368.350006,370.540009,370.540009,3870100
01-05-2019,374,385.98999,373.170013,378.809998,378.809998,9257300
02-05-2019,378,383.5,374.51001,379.059998,379.059998,5398200
03-05-2019,381.529999,385.029999,378.269989,385.029999,385.029999,5130300
06-05-2019,377.690002,381.350006,376,378.670013,378.670013,5793100
07-05-2019,377,379.910004,365.809998,370.459991,370.459991,6974900
08-05-2019,367.920013,369,361.359985,364.369995,364.369995,6572000
09-05-2019,360.899994,364.200012,352.75,362.75,362.75,5882600
10-05-2019,361.619995,365.26001,353.059998,361.040009,361.040009,5657100
13-05-2019,352.290009,354.26001,343.100006,345.26001,345.26001,8026700
14-05-2019,348.709991,349.950012,342.5,345.609985,345.609985,5353000
15-05-2019,343.339996,356.5,341.390015,354.98999,354.98999,6340100
16-05-2019,356.369995,364,353.940002,359.309998,359.309998,6441500
